m2,price,location
101.45,718,Qinghe
82.22,430,Qinghe
138.23,2200,Qinghe
159.09,1800,Qinghe
78.76,550,Qinghe
103.28,630,Qinghe
192,2250,Qinghe
237,2800,Qinghe
87.55,936,Qinghe
126.81,1270,Qinghe
119,1199,Qinghe
91.44,585,Qinghe
166.25,2000,Qinghe
167.57,2496,Qinghe
163.15,1749,Qinghe
70.25,699,Qinghe
134.34,2160,Qinghe
71.43,750,Qinghe
162.09,1540,Qinghe
195.19,2450,Qinghe
126.81,1270,Qinghe
90.49,558,Qinghe
104.17,810,Qinghe
87.18,700,Qinghe
91.34,929,Qinghe
91.34,1050,Qinghe
48.93,260,Qinghe
115.25,880,Qinghe
92.16,698,Qinghe
128.27,1020,Qinghe
162.09,1540,Qinghe
87.82,558,Qinghe
87.67,885,Qinghe
50,300,Qinghe
99,970,Qinghe
146.06,1190,Qinghe
156.52,1850,Qinghe
130.93,930,Qinghe
85.56,490,Qinghe
91.34,929,Qinghe
82.22,430,Qinghe
99.93,1000,Qinghe
72.66,680,Qinghe
98.02,960,Qinghe
53,400,Qinghe
192.9,2495,Qinghe
210.34,2080,Qinghe
166.37,1750,Qinghe
81.31,820,Qinghe
72.66,680,Qinghe
170.01,1900,Qinghe
99.93,980,Qinghe
82.17,750,Qinghe
101.45,718,Qinghe
149.61,650,Qinghe
266,3700,Qinghe
74.15,468,Qinghe
56.18,356,Qinghe
94.91,1020,Qinghe
91.05,900,Qinghe
97.86,730,Qinghe
68.83,375,Qinghe
119,1199,Qinghe
159.8,1690,Qinghe
225.52,1850,Qinghe
237.7,2860,Qinghe
50,290,Qinghe
139.59,860,Qinghe
99.6,590,Qinghe
192,2250,Qinghe
252.05,2350,Qinghe
197.57,2100,Qinghe
58.91,258,Qinghe
91.05,900,Qinghe
176.24,1950,Qinghe
79.86,518,Qinghe
192,2250,Qinghe
132.06,948,Qinghe
144.84,1800,Qinghe
115.86,690,Qinghe
72.46,750,Qinghe
88.54,1290,Qinghe
142.72,820,Qinghe
53.39,273,Qinghe
175.36,1960,Qinghe
113.2,688,Qinghe
55.64,230,Qinghe
130.93,930,Qinghe
99.93,980,Qinghe
59,450,Qinghe
156.52,1850,Qinghe
165.13,1020,Qinghe
99.74,1040,Qinghe
102.68,1030,Qinghe
93.95,628,Qinghe
134.12,2320,Qinghe
144.37,1880,Qinghe
144.2,758,Qinghe
57.51,285,Qinghe
142,2299,Qinghe
174,1800,Qinghe
145.97,1868,Qinghe
144.37,1880,Qinghe
60,390,Qinghe
68.94,399,Qinghe
105.54,588,Qinghe
88.05,500,Qinghe
142,2299,Qinghe
124.13,516,Qinghe
162.09,1540,Qinghe
146.61,1798,Qinghe
127.67,1280,Qinghe
74.15,468,Qinghe
90.45,480,Qinghe
51.59,235,Qinghe
170.01,1900,Qinghe
120,700,Qinghe
166.37,1998,Qinghe
70.95,379,Qinghe
99.93,980,Qinghe
143.85,1520,Qinghe
59,315,Qinghe
139.26,1580,Qinghe
81.9,530,Qinghe
201.15,2280,Qinghe
94.38,868,Qinghe
98.02,960,Qinghe
121.03,521,Qinghe
103.28,630,Qinghe
80.54,520,Qinghe
331.18,4180,Qinghe
94.38,868,Qinghe
90.41,880,Qinghe
156.52,1850,Qinghe
117.86,1280,Qinghe
86.33,938,Qinghe
147.83,800,Qinghe
87.55,936,Qinghe
72.66,680,Qinghe
130.98,685,Qinghe
191.51,2156,Qinghe
201.15,2280,Qinghe
104.46,760,Qinghe
82.53,650,Qinghe
104.17,810,Qinghe
88.06,670,Qinghe
142.72,890,Qinghe
197.57,2100,Qinghe
88.59,670,Qinghe
87.92,930,Qinghe
238.69,2990,Qinghe
225.52,1850,Qinghe
146.06,1190,Qinghe
85.56,490,Qinghe
88.53,919,Qinghe
188.07,1920,Qinghe
166.25,2000,Qinghe
142,2299,Qinghe
99.11,570,Qinghe
91.23,940,Qinghe
91.23,940,Qinghe
53.31,510,Qinghe
74.15,468,Qinghe
85,550,Qinghe
73.65,631,Qinghe
124.91,708,Qinghe
141.05,1050,Qinghe
142,2299,Qinghe
91.34,929,Qinghe
100.41,1000,Qinghe
72.46,750,Qinghe
141.09,1750,Qinghe
138.19,1390,Qinghe
94.67,880,Qinghe
91.05,900,Qinghe
139,1580,Qinghe
125.54,1265,Qinghe
237.7,2860,Qinghe
53.31,560,Qinghe
65,580,Qinghe
191.51,1950,Qinghe
58.21,260,Qinghe
99.93,980,Qinghe
126.81,1270,Qinghe
192.9,2495,Qinghe
88.05,500,Qinghe
162.21,1190,Qinghe
91.34,929,Qinghe
139.26,1580,Qinghe
70.55,670,Qinghe
98.04,599,Qinghe
138.23,2200,Qinghe
91.13,480,Qinghe
90.95,690,Qinghe
70.57,749,Qinghe
130.98,685,Qinghe
59,315,Qinghe
128.27,975,Qinghe
103.28,630,Qinghe
66.88,265,Qinghe
160.07,2100,Qinghe
252.05,2350,Qinghe
144.37,1880,Qinghe
79.25,490,Qinghe
160,1073,Qinghe
88.63,880,Qinghe
91.05,900,Qinghe
99.93,929,Qinghe
82.17,750,Qinghe
109.08,779,Qinghe
55.13,279,Qinghe
137.94,1420,Qinghe
57.9,388,Qinghe
59.61,319,Qinghe
158.9,1535,Qinghe
60,420,Qinghe
85.04,609,Qinghe
125.54,1265,Qinghe
91.34,929,Qinghe
103.28,630,Qinghe
281.7,1850,Qinghe
90.25,888,Qinghe
93.86,1050,Qinghe
147.83,800,Qinghe
87.28,465,Qinghe
134.12,2320,Qinghe
111.11,580,Qinghe
139.26,1600,Qinghe
53.39,273,Qinghe
59.7,265,Qinghe
69.26,560,Qinghe
108.95,525,Qinghe
53.31,510,Qinghe
86.77,409,Qinghe
99.93,900,Qinghe
55.13,305,Qinghe
57.59,290,Qinghe
238.19,2105,Qinghe
99.6,590,Qinghe
99.74,1040,Qinghe
53.31,560,Qinghe
97.86,730,Qinghe
127.02,1498,Qinghe
76,640,Qinghe
174,1800,Qinghe
156.22,1560,Qinghe
119,1199,Qinghe
70.25,699,Qinghe
94.13,998,Qinghe
76.32,610,Qinghe
104.46,760,Qinghe
160.35,1690,Qinghe
53.31,510,Qinghe
185,2380,Qinghe
90.25,830,Qinghe
142.1,1345,Qinghe
40.23,249,Qinghe
91.34,929,Qinghe
90.25,888,Qinghe
160.35,1690,Qinghe
59,450,Qinghe
104.37,470,Qinghe
281.7,1850,Qinghe
166.37,1750,Qinghe
90.25,888,Qinghe
87.67,738,Qinghe
84.86,539,Qinghe
71.43,750,Qinghe
192,2250,Qinghe
170.01,1900,Qinghe
96.2,930,Qinghe
127.95,1533,Qinghe
70.55,670,Qinghe
112.93,849,Qinghe
195.09,2488,Qinghe
104.37,470,Qinghe
99.93,900,Qinghe
88.23,1100,Qinghe
88.54,1290,Qinghe
201.15,2280,Qinghe
144.37,1880,Qinghe
87.18,700,Qinghe
107.44,799,Qinghe
197.57,2100,Qinghe
138.23,2200,Qinghe
82.17,750,Qinghe
101.45,718,Qinghe
98.02,960,Qinghe
145.97,1868,Qinghe
83.86,560,Qinghe
138.55,1650,Qinghe
126.81,1270,Qinghe
138.84,1460,Qinghe
147.94,1248,Qinghe
163.15,1800,Qinghe
90.25,888,Qinghe
72.33,730,Qinghe
127.67,1280,Qinghe
40.23,249,Qinghe
143.69,1260,Qinghe
100.98,1058,Qinghe
146.61,1798,Qinghe
331.18,4180,Qinghe
190,2600,Qinghe
